Background	FLAGS	OMIM	HGMD	WES
NPRL2				
NSMCE1				
NSMCE2				
NTNG2				
NUP35				
ODF1				
OPA3				
OPCML				
OR10W1				
OR1A1				
OR1N2				
OR2L3				
OR2T10				
OR51A2				
OR5D13				
OR6C65				
OSTM1				
PAEP				
PAIP1				
PALM3				
PAQR8				
PARVA				
PBX2				
PDHB				
PHF13				
PHF8				
PIGF				
PIH1D2				
PIP				
PIP4K2C				
PITX2				
PLA2G12A				
PLD5				
PLEKHD1				
POGLUT1				
POLR3GL				
PPA1				
PPAP2A				
PPIC				
PPIE				
PPIF				
PPME1				
PPP1R27				
PQLC3				
PRAP1				
PRDX2				
PRSS1				
PRSS42				
PSMC3IP				
PTPN2				
QPRT				
RAE1				
RANGRF				
RARRES2				
RASD1				
RBFOX2				
RBM22				
RBM25				
RBM43				
RBMXL1				
RBMXL3				
RCC2				
RDH11				
REG1B				
RGS2				
RGS4				
RNASE10				
RNF121				
RNF183				
RPL6				
SAMD12				
SCML2				
SDC4				
SENP3				
SGTB				
SH3GL3				
SIT1				
SIX2				
SLAMF9				
SLC16A1				
SLC25A26				
SLC25A27				
SLC35A2				
SLC35D2				
SLC35G1				
SLC41A2				
SLC7A5				
SMARCE1				
SNX27				
SOWAHA				
SPSB4				
STK38L				
STRBP				
SULT1C4				
SULT2A1				
SWI5				
SYNPR				
TACO1				
TAF7				
TASP1				
TBC1D13				
TBC1D19				
TBC1D20				
TCEB2				
TCF4				
TEX13B				
TFAP2B				
TFCP2				
TGFA				
TGFB1				
TIAF1				
TIFAB				
TLCD1				
TM4SF18				
TMEM109				
TMEM126B				
TMEM14B				
TMEM150C				
TMEM217				
TMEM222				
TMEM248				
TMEM255A				
TMEM256-PLSCR3				
TMEM37				
TMEM52				
TMOD1				
TNFAIP1				
TNFSF18				
TOR1A				
TPD52				
TPGS2				
TPI1				
TPK1				
TRAPPC13				
TRHR				
TSPAN1				
TTC33				
TUSC3				
TWF1				
UAP1				
UBFD1				
USF1				
USP51				
VGF				
VGLL3				
VSTM1				
WFDC2				
WNT3A				
XKRX				
YIPF3				
ZBED6CL				
ZBTB6				
ZC3H12B				
ZC3H12D				
ZC3H15				
ZCCHC12				
ZCCHC17				
ZDHHC21				
ZDHHC6				
ZFP42				
ZFP62				
ZFYVE21				
ZNF140				
ZNF330				
ZNF688				
ZNF696				
ZNF830				
ZNHIT3				
AAED1				
ABT1				
ACRV1				
ACTL10				
ACVR1B				
ACVR2A				
ADAL				
ADM2				
ADRA2A				
AGPS				
AIG1				
ALG1L				
ANKRD30B				
AP3S2				
API5				
APOBEC2				
ARFRP1				
ARHGAP11B				
ARL13A				
ATL1				
ATP1A1				
ATP6AP2				
ATXN3L				
AURKC				
AVPI1				
BCL11B				
BGN				
BMP4				
BMP8A				
BRAF				
BTBD10				
C10orf62				
C10orf91				
C11orf74				
C12orf77				
C19orf18				
C19orf66				
C1orf100				
C1orf141				
C1orf213				
C1orf216				
C1orf50				
C21orf91				
C2orf50				
C2orf68				
C4orf26				
C4orf45				
C5orf30				
C6orf132				
C6orf136				
C7orf34				
C8orf37				
CACFD1				
CALU				
CALY				
CAMP				
CAPNS1				
CBLN3				
CBR1				
CBWD1				
CCDC103				
CCDC127				
CCDC43				
CCL14				
CCR6				
CCZ1B				
CD47				
CD8B				
CD9				
CDC27				
CEACAM3				
CENPBD1				
CENPH				
CENPQ				
CHMP7				
CHST3				
CHTOP				
CIB3				
CLDN1				
CLDN4				
CLDN6				
CLIC3				
CMPK2				
CMSS1				
COMMD4				
COMMD5				
COQ2				
CORO1A				
CRADD				
CRYBA2				
CRYGB				
CRYM				
CSN3				
CST7				
CTNNB1				
DAZL				
DCAF12L2				
DCAF4L1				
DDAH2				
DDX19B				
DEDD2				
DEFB1				
DHRS11				
DHRS3				
DIMT1				
DKKL1				
DNAJC15				
DNASE2				
DNLZ				
DOK6				
DSN1				
DYDC1				
EEF1B2				
EFR3B				
ELOVL3				
ENDOG				
EPDR1				
ESD				
FADS3				
FAHD2B				
FAM104A				
FAM109B				
FAM115A				
FAM162A				
FAM175B				
FAM64A				
FIGF				
FKRP				
FOXC2				
FOXO3				
FRRS1L				
G3BP1				
GABRA5				
GABRB3				
GCK				
GDF7				
GFER				
GIMAP1				
GINS3				
GPIHBP1				
GPS2				
GRXCR1				
GSTA5				
GSTZ1				
HBP1				
HEBP1				
HIST1H2AA				
HM13				
HMGCL				
HMGCS1				
HN1				
HNRNPCL1				
HNRNPLL				
HOXA4				
HOXD4				
HS3ST3A1				
HSD11B1L				
HSPB1				
ICT1				
IGF2BP1				
IGFL1				
IGHV3-49				
IGHV4-28				
IGHV7-81				
IHH				
IMMP2L				
INO80E				
ISL2				
IZUMO2				
JKAMP				
KAZALD1				
KCNA1				
KCNG1				
KCNIP2				
KCNJ13				
KCNN1				
KCTD1				
KCTD17				
KLHL12				
KLHL13				
KLRF1				
KLRG2				
KPNA6				
KRTAP13-1				
KRTAP13-4				
KRTAP5-9				
KRTAP9-2				
LACTB				
LAPTM4A				
LAS1L				
LDB2				
LDHB				
LHFPL5				
LIMS1				
LIN37				
LOX				
LPAR6				
LRRC52				
LRRC61				
LRRTM2				
LRRTM3				
LUC7L2				
LYPD5				
MDM2				
MED29				
METRN				
METTL6				
MFAP1				
MGST2				
MIS18A				
MOG				
MOSPD3				
MREG				
MRPL49				
MS4A15				
MS4A5				
MTFP1				
MTM1				
MYL10				
MYL6B				
NABP1				
NACAD				
NAP1L2				
NCF1				
NCK1				
NCK2				
NDN				
NEK7				
NFIB				
NKG2-E				
NKPD1				
NLGN3				
NOL3				
NOMO2				
NOSIP				
NOV				
NPTN				
NPY1R				
NPY5R				
NQO1				
NR0B1				
NR1H4				
NRSN2				
NSG1				
NUDT16				
OCM				
OFCC1				
OLFM1				
OLIG3				
OLR1				
OR12D2				
OR13G1				
OR1I1				
OR2A12				
OR5AC2				
OR5L1				
OSGEPL1				
OVOL1				
OVOL2				
PARD6A				
PDK2				
PDZK1				
PEX11B				
PFN4				
PID1				
PIGP				
PIK3CA				
PLEKHJ1				
POGK				
PPP1R3B				
PPP2R2C				
PRH2				
PRKAB1				
PRKACB				
PRLH				
PROL1				
PRPF18				
PSMC6				
PTAFR				
PTPN11				
PTRH1				
PTTG2				
RAB28				
RAB3C				
RARG				
RASSF3				
RASSF5				
RBBP9				
RBM17				
RBPJ				
RBPMS				
RCAN1				
RCHY1				
REXO2				
RFFL				
RGAG4				
RGS1				
RNASE3				
RNF113B				
RNF144B				
RNF181				
RNF185				
RP2				
RPL14				
RPL7A				
RPLP2				
RSRC2				
RWDD3				
S100A7A				
SAPCD2				
SARS				
SASH3				
SATB1				
SCN2B				
SFTPA2				
SGCD				
SGPP1				
SH2D6				
SLC10A4				
SLC16A2				
SLC25A1				
SLC25A29				
SLC25A33				
SLC35E2				
SLC39A8				
SMEK1				
SOX9				
STARD5				
STK39				
STRAP				
STX8				
STXBP1				
SUV420H2				
SUZ12				
SYT2				
TAF9B				
TAGLN				
TCTEX1D2				
TDGF1				
TEX19				
THAP2				
THEM4				
THYN1				
TMCC1				
TMED4				
TMEM101				
TMEM102				
TMEM106B				
TMEM123				
TMEM129				
TMEM151A				
TMEM190				
TMEM200C				
TMEM239				
TMEM252				
TMEM45A				
TNFSF10				
TNNT1				
TNP2				
TOMM70A				
TRAM1L1				
TRAM2				
TRAPPC4				
TREML4				
TRGV2				
TRMT61A				
TRNAU1AP				
TSPAN6				
TTC32				
TUSC5				
TWSG1				
TXN2				
TYW3				
UBL4B				
UBQLN2				
UBXN2B				
ULBP2				
UTP23				
UXS1				
VAPA				
VCPKMT				
VCX2				
VENTX				
VN1R4				
WNT4				
WNT7B				
YTHDF2				
ZBTB34				
ZBTB37				
ZG16B				
ZIC5				
ZNF321P				
ZNF566				
ZNF672				
ZNF747				
ZNF805				
ZSCAN12				
ZSWIM6				
AASDHPPT				
ACTR6				
ADAT2				
ADH1A				
AGR3				
AMIGO1				
ANAPC11				
APOC2				
APOF				
APOPT1				
AQP2				
ARHGEF33				
ARL14				
ASB1				
ASCL3				
ATG10				
ATG12				
ATP5D				
ATP5S				
AWAT1				
B9D2				
BARHL2				
BET1L				
C10orf82				
C11orf88				
C16orf45				
C17orf78				
C19orf24				
C19orf71				
C1orf105				
C1orf123				
C1orf74				
C20orf141				
C20orf166				
C20orf85				
C4orf22				
C8orf86				
CABP5				
CACNG4				
CACUL1				
CADM4				
CCDC115				
CCDC175				
CCNA2				
CCNB1				
CD177				
CD300LD				
CD83				
CDK16				
CDK9				
CDNF				
CDRT4				
CELF6				
CEPT1				
CHRDL1				
CLCN4				
CLECL1				
CLVS1				
CMAS				
CPXCR1				
CRLS1				
CRP				
CSDC2				
CSF3				
CSN2				
CTBP1				
CYBRD1				
DAND5				
DAZAP2				
DBNDD1				
DCAF10				
DCAF12L1				
DNAJC12				
DOLPP1				
DPF2				
DTX3				
DUSP2				
DUXA				
E2F3				
EED				
EEF1G				
ELOVL4				
EPPIN				
EPPIN-WFDC6				
ERLIN1				
ETHE1				
ETNK1				
ETV1				
EZH2				
FAM101B				
FAM110C				
FAM115C				
FAM183A				
FAM19A3				
FAM204A				
FAM205A				
FAM228A				
FAM46A				
FAM46C				
FAM50B				
FAM92A1				
FAM9C				
FCF1				
FEM1C				
FKBP14				
FLJ45079				
FMR1				
FMR1NB				
FNDC5				
FOLR1				
FOPNL				
FOXD4L1				
FOXI2				
FOXJ1				
FUT1				
GABRA4				
GADD45GIP1				
GALP				
GATM				
GATSL3				
GEMIN6				
GINS4				
GKN1				
GLIPR2				
GMNC				
GOLT1A				
GPD1L				
GPHA2				
GPR119				
GPR137C				
GPR183				
GPX5				
GRIN1				
GRIN2D				
GSK3B				
GTF3A				
GTSF1L				
GUCD1				
GYPA				
H1FOO				
HDAC1				
HDDC2				
HIAT1				
HLA-DPA1				
HOXD13				
HSD17B12				
HTR7				
IBA57				
IFNA21				
IFNA4				
IFNL1				
IGBP1				
IGHV1-24				
IGHV3-13				
IGKV1-16				
IL1F10				
IL1RAPL1				
IL31				
INPP1				
IQSEC2				
IRF2BP2				
IRF6				
ISOC1				
ITGB1BP2				
KAT7				
KCNJ2				
KCNK15				
KCNS2				
KHDC3L				
KIR2DL4				
KLF8				
KLHL42				
KLK4				
KLRC3				
KRTAP1-1				
KRTAP1-5				
KRTAP10-2				
KRTAP4-1				
KRTAP5-11				
KRTAP9-4				
KRTCAP3				
LCN15				
LDLRAD2				
LGALS14				
LGALS2				
LGALS9B				
LGALS9C				
LHX8				
LHX9				
LONRF1				
LRRC25				
LRRC58				
LY86				
LYPLAL1				
MAGEA10				
MAGEA12				
MAGIX				
MAGT1				
MAMSTR				
MAPRE1				
MAT2A				
MBNL2				
MDP1				
MED18				
MEIS1				
MFAP5				
MGP				
MIP				
MPZL1				
MRPL40				
MRPL42				
MRPS23				
MSMO1				
MSRB3				
MST4				
MYCL				
MYL2				
MYOD1				
MZT2B				
N6AMT2				
NACC1				
NDNL2				
NDUFA5				
NDUFA8				
NEURL2				
NMS				
NODAL				
NPM2				
NSF				
NT5C3A				
NT5M				
NUDCD2				
NYX				
OGFRL1				
OPALIN				
OR11A1				
OR11H12				
OR14A16				
OR1E1				
OR56A3				
OR5B3				
OR7G3				
OTUB2				
OTUD3				
P2RY12				
PACSIN1				
PAX9				
PBX3				
PDC				
PDCD6				
PDCD7				
PDGFC				
PELO				
PGF				
PHF11				
PHOSPHO2				
PIGH				
PIP4K2B				
PLA2G1B				
PLA2G2D				
PLGRKT				
PORCN				
PPAP2B				
PPP1R16B				
PPP1R3D				
PRG3				
PRKAG1				
PRKX				
PRMT1				
PRR4				
PRRG2				
PRRT2				
PRRX1				
PSMB2				
PSMB9				
PSMD12				
PTGDS				
PTGER2				
PTGS2				
PTTG1IP				
RAB13				
RAB33B				
RAB41				
RAB5C				
RASL10B				
RBM10				
RBPMS2				
RCAN3				
REEP5				
RGS16				
RGS7				
RHBDD2				
RNF152				
RNF170				
RNF4				
ROPN1				
RPIA				
RPL13A				
RPL18				
RSPO3				
RTP3				
RUNX3				
S100A11				
SAMD5				
SCN4B				
SDC2				
SDF2L1				
SELV				
SEPHS2				
SFRP1				
SHOX2				
SKA1				
SLC25A11				
SLC25A52				
SLC35A1				
SLC35C1				
SLC35E3				
SMAD4				
SMIM8				
SNAP23				
SNTB2				
SOCS7				
SPATA19				
SPTLC2				
SSX3				
STARD4				
STX7				
SULT4A1				
SVOP				
TACSTD2				
TADA1				
TERF2IP				
TESC				
THOC2				
THRA				
THRSP				
TK2				
TM4SF1				
TMEM115				
TMEM147				
TMEM179B				
TMEM194A				
TMEM205				
TMEM215				
TMEM223				
TMEM234				
TMEM33				
TMEM52B				
TMEM55B				
TMEM81				
TMEM8C				
TMEM91				
TMEM98				
TNFRSF12A				
TPM4				
TPPP				
TRAPPC2L				
TRDV2				
TRGC1				
TRIB1				
TRIM43				
TRIM49				
TRIM8				
TRMT2B				
TSEN34				
TSLP				
TTPAL				
TUBA1C				
U2AF2				
UBE2S				
UBTD1				
UCHL1				
UNC93B1				
UTP11L				
VAPB				
VAT1				
VDAC3				
VHLL				
VMO1				
VPREB3				
VSTM2A				
VTI1A				
VWA5B2				
WTIP				
WWTR1				
XCR1				
YAE1D1				
ZC3H8				
ZC3HAV1L				
ZDHHC3				
ZFP41				
ZMAT3				
ZNF654				
ZRSR2				
ACTG1				
ACTL6A				
ALG14				
ALKBH7				
ANKRD22				
AP1AR				
APOBEC3H				
APOC4				
ARL9				
ATOH8				
ATP5C1				
ATP6AP1L				
ATP6V0D1				
ATP6V1A				
AURKA				
B3GALNT1				
B3GALT2				
B4GALT5				
BEND5				
BLID				
BRS3				
C11orf71				
C12orf65				
C1GALT1				
C1QA				
C1orf109				
C1orf162				
C1orf56				
C20orf196				
C2orf40				
C4BPB				
C5orf48				
C6orf1				
C6orf201				
C7orf25				
C9orf129				
C9orf37				
CA13				
CA2				
CACNB4				
CAV1				
CCL22				
CCL7				
CCNI				
CCNJ				
CCNK				
CCNY				
CCNYL1				
CD164				
CDRT15				
CDX4				
CECR6				
CENPB				
CFD				
CHMP6				
CLDN19				
CLDN8				
CLDND2				
CLEC1A				
CLEC5A				
CLEC6A				
CMTM8				
CNOT11				
COMMD7				
COPS3				
COPS7B				
COX19				
CRYGS				
CSNK1E				
CSNK2B-LY6G5B-1181				
CST11				
CST9L				
CTCF				
CXCR6				
CYBA				
DCUN1D4				
DDX17				
DKK4				
DLX4				
DMC1				
DNAJB11				
DNAJB4				
DNASE1L1				
DNTTIP1				
DPPA4				
DUSP3				
EAF1				
EFCC1				
EGR2				
EI24				
EIF1AD				
EIF3E				
EIF3G				
ELK1				
EMP3				
ENC1				
EPO				
ESRRA				
FAF2				
FAM117B				
FAM211A				
FAM216B				
FAM78A				
FBP1				
FBXL14				
FBXL20				
FCGR1A				
FEM1B				
FGF3				
FGFR1OP2				
FLJ00418				
FLYWCH2				
FRG1				
FUT4				
FXYD2				
GABRG3				
GALNT1				
GATC				
GBX1				
GCA				
GDNF				
GFI1				
GJA1				
GJA3				
GLRA2				
GLS				
GLUL				
GMDS				
GNAL				
GNPDA1				
GPR160				
GPX8				
GRID2IP				
GSTT1				
GTPBP2				
GUCA1A				
HBM				
HECA				
HES4				
HESX1				
HIBADH				
HIST1H2AB				
HIST1H2AK				
HOXA11				
HOXA2				
HOXA6				
HOXD8				
HRASLS				
HSCB				
HSD11B1				
HSPB7				
HTATIP2				
IFT27				
IGFBP2				
IGFBP5				
IGHV3-74				
IGHV4-59				
IGKV1-12				
IGLV4-3				
IL24				
INHBA				
INHBC				
INSL5				
IRX3				
ISL1				
ITGB1BP1				
KBTBD13				
KCNE2				
KCNMB3				
KCTD15				
KIAA1143				
KIN				
KISS1R				
KLF7				
KPNB1				
KRTAP4-12				
KRTAP4-4				
KRTAP5-10				
KRTAP5-8				
LACTB2				
LAIR2				
LBX1				
LCAT				
LHFPL1				
LIN28A				
LPAR5				
LSM11				
LTB4R				
LYSMD1				
MAGEA11				
MAL				
MAOA				
MAP3K7CL				
MBTD1				
MCU				
MED6				
MESDC2				
MIS12				
MITD1				
MLANA				
MMP28				
MNAT1				
MPP6				
MPST				
MRPL11				
MRPL54				
MRPS16				
MSRB2				
MTRF1L				
NAA11				
NAA60				
NAGS				
NDUFA7				
NECAP1				
NFKBID				
NKAIN4				
NKX2-2				
NKX2-5				
NPPA				
NR4A3				
NR6A1				
NRIP3				
NSA2				
NTPCR				
NUP62CL				
OOEP				
OR11H1				
OR1D5				
OVCA2				
PA2G4				
PDPK1				
PERP				
PGAM4				
PHB2				
PHLDA1				
PIP4K2A				
PLAC8L1				
PLAC9				
PLAG1				
PLCXD3				
PLD6				
PLS3				
PNOC				
POLR1D				
PPAPDC1B				
PPAT				
PPM1A				
PPM1G				
PPM1L				
PPP1R14A				
PPP1R1A				
PPP1R1B				
PPP2R5E				
PRKACA				
PRPF3				
PRPSAP1				
PRSS3				
PSMB6				
PSMC3				
PTPLAD2				
PUF60				
QDPR				
QRICH1				
QTRTD1				
RAB40C				
RAB4B				
RAB6C				
RABL2B				
RASGEF1A				
RBM4				
RBM7				
RBMX2				
RDH14				
REEP1				
RELL1				
RFK				
RGPD4				
RIBC1				
RIPPLY3				
RNASE1				
RNASE7				
RNF125				
RNF130				
RNF39				
RPL23A				
RPLP0				
RRM2				
RTP2				
SAMD1				
SAMD10				
SAP30BP				
SAPCD1				
SATB2				
SCGB2A2				
SEC61A2				
SEC62				
SELL				
SERBP1				
SH3BGR				
SHOC2				
SLC25A15				
SLC25A37				
SLC25A51				
SLC30A1				
SLC6A14				
SMAD5				
SMARCD1				
SMDT1				
SMIM21				
SOX10				
SPR				
SRRM3				
SYCP3				
SYNC				
SYNDIG1L				
TADA2B				
TAGLN2				
TAS2R40				
TFEC				
TFPI				
TGFB3				
THTPA				
TIGD1				
TMEM106A				
TMEM127				
TMEM139				
TMEM41A				
TMEM99				
TMUB1				
TNFRSF10C				
TNMD				
TOP1				
TPPP3				
TPST1				
TRAV41				
TSG101				
TTC9C				
UBA5				
UBE3A				
UCMA				
UNC50				
VASH1				
VEZF1				
VMP1				
WEE1				
WIF1				
WNT5A				
WNT7A				
WSB2				
WT1				
ZDHHC24				
ZFP36L1				
ZNF346				
ZNF711				
ZNF821				
ZNF90				
ZYG11A				
AARD				
ABHD13				
ACOT13				
ACTR1A				
ADK				
AES				
AGPAT3				
AJUBA				
AKAP14				
AKR1CL1				
ALKBH6				
ANKRD45				
ANP32D				
ARGFX				
ARIH2OS				
ARL11				
ARMCX6				
ASB17				
ATP1B1				
ATP5H				
ATP6V0E2				
ATP6V1D				
ATPIF1				
B3GNT6				
BCL2L15				
BCL7A				
BNIP3				
BPGM				
BRMS1L				
BUB3				
C10orf53				
C11orf70				
C14orf177				
C17orf98				
C1orf61				
C2CD4A				
C4A				
C4B				
C4orf51				
C6orf195				
C7orf72				
C8orf46				
C9orf172				
C9orf41				
CA5B				
CAV2				
CAV3				
CBX6				
CCDC117				
CCDC12				
CCDC172				
CCDC28B				
CCNL1				
CD300LB				
CDCA5				
CDK7				
CDR1				
CHRFAM7A				
CHST14				
CKMT1A				
CLEC12B				
CLTA				
CLVS2				
CNPY2				
COMTD1				
COX4I2				
COX6A1				
COX7A2L				
CSRP2				
CTSG				
DCTPP1				
DDAH1				
DEFB112				
DEGS1				
DIO2				
DNAJB14				
DNAJB9				
DNPH1				
DPH5				
DRD1				
DTWD1				
DUSP8				
DYNAP				
EDDM3B				
EFCAB1				
EFHD1				
EFHD2				
EIF3H				
EVX1				
EVX2				
EXOC5				
FADD				
FAIM2				
FAM122A				
FAM149B1				
FAM159A				
FAM174B				
FAM177B				
FAM189A1				
FAM19A4				
FAM3C				
FAM84B				
FGF14				
FGF23				
FIS1				
FKBP3				
FOSB				
FOXL1				
FOXR2				
FTSJ1				
G3BP2				
GALR3				
GINS1				
GJD2				
GLYATL3				
GNA11				
GNAI2				
GNB2				
GNRH2				
GPR173				
GSPT2				
GSTM1				
GSTM3				
GTF2I				
HIST1H2AD				
HIST1H2BM				
HLA-DOB				
HLA-DQA1				
HMBOX1				
HMX2				
HMX3				
HNRNPL				
HOXB1				
HOXD1				
HOXD9				
HS3ST3B1				
HSD17B11				
HSD17B8				
HTR2A				
ID1				
ID3				
IFNA6				
IFNE				
IGHV3-48				
IGHV3-72				
IGHV4-39				
IGKV5-2				
IL10				
IL13				
IL27				
INHBB				
INS-IGF2				
INSIG1				
ISG20L2				
KCNE1				
KCTD9				
KDELR2				
KDM5D				
KLHDC10				
KLHL11				
KLK9				
KLRC2				
KLRK1				
KPNA1				
KRT222				
KRTAP11-1				
KRTAP13-3				
KRTAP15-1				
KRTAP27-1				
KRTAP5-7				
KRTAP9-3				
LCE1A				
LCE1E				
LCORL				
LEMD1				
LEPROTL1				
LHX1				
LIME1				
LIN7C				
LINGO3				
LPGAT1				
MAD2L2				
MAP2K7				
MAPRE3				
MDH1				
MED7				
METTL5				
MGST1				
MKLN1				
MLX				
MRP63				
MRPL24				
MRPL34				
MRPL35				
MRPL47				
MSANTD1				
MTX2				
MXRA7				
MYLPF				
MYOG				
N4BP2L1				
NAA30				
NAPB				
NAT9				
NDUFAF2				
NDUFAF3				
NDUFB7				
NDUFS7				
NEK6				
NFE2				
NMT1				
NPM1				
NRBF2				
NSG2				
OBP2B				
ONECUT2				
OPN1LW				
OR14K1				
OR3A3				
OR9Q2				
ORAI3				
OSR1				
OTX2				
PABPC1				
PABPC5				
PAGR1				
PDHA1				
PEG10				
PEX3				
PIFO				
PIM3				
PLEKHA3				
PLLP				
PNRC1				
POLR2C				
PPCS				
PPIL3				
PPP1R35				
PPP2R5A				
PRAMEF7				
PRIM2				
PRL				
PRLHR				
PRSS33				
PSMB1				
PSPH				
PSPN				
PTPRCAP				
PURG				
RAB18				
RAB23				
RAD51				
RAET1E				
RBMX				
RBP4				
RCN1				
REEP2				
REEP3				
REG3A				
RHEBL1				
RHOU				
RILPL1				
RIMKLB				
RLN3				
RNF166				
RORB				
RPE				
RPS6KB1				
RRAD				
RUNX1				
SAR1B				
SARNP				
SCG5				
SDHAF2				
SELM				
SFT2D2				
SH3GLB1				
SHISA3				
SIGLEC14				
SIKE1				
SIVA1				
SLC9A6				
SLIRP				
SLMO2				
SMAD1				
SMC1A				
SMCO1				
SNRNP40				
SNRPA1				
SPATA12				
SPATA8				
SPC24				
SPDYE3				
SRD5A1				
SRGN				
SRSF11				
SRSF7				
SSR2				
ST8SIA4				
STARD6				
STX19				
TBC1D29				
TCTEX1D1				
TFAP2D				
TGFBR1				
THAP7				
THOC7				
TIMM22				
TLX1				
TMED8				
TMEM136				
TMEM150A				
TMEM17				
TMEM170A				
TMEM18				
TMEM220				
TMEM230				
TMEM27				
TMEM97				
TNFAIP8L2				
TNFSF9				
TP53AIP1				
TPD52L2				
TPRKB				
TRAPPC3L				
TRGV4				
TRIM39-RPP21				
TRIM44				
TSPAN14				
TSPAN19				
TSPAN33				
TTL				
TXNDC8				
TYROBP				
UBALD1				
UBLCP1				
UBXN1				
USP22				
VAX1				
VHL				
WDR44				
WDR83OS				
WRB				
YBX1				
YKT6				
YOD1				
YTHDF3				
ZBTB26				
ZCCHC10				
ZGLP1				
ZMYND19				
ZNF716				
ZNF727				
ZNF75A				
ZXDB				
ABHD14B				
ABHD17A				
ADH5				
ADRB1				
ADSS				
AHCYL1				
AMMECR1L				
ANKRD49				
AP1S3				
APITD1-CORT				
APOO				
ARHGEF9				
ARIH2				
ARL2				
ARL2BP				
ARRDC3				
ATG3				
ATP5G2				
B3GNT1				
B3GNT9				
B4GALT4				
BARHL1				
BCL10				
BCL2L10				
BIK				
BMF				
BPNT1				
BTK				
C10orf67				
C11orf31				
C12orf76				
C15orf32				
C17orf67				
C19orf80				
C1QB				
C1orf226				
C20orf24				
C22orf15				
C22orf39				
C3orf36				
C3orf84				
C4orf33				
C5orf38				
C6orf120				
C9orf142				
C9orf152				
CA11				
CACYBP				
CAPNS2				
CCDC154				
CCNI2				
CCR4				
CD164L2				
CD274				
CD81				
CDK4				
CDO1				
CDV3				
CENPM				
CHCHD7				
CHMP5				
CHURC1				
CITED2				
CKB				
CKLF-CMTM1				
CLDN15				
CLEC4C				
CLPP				
CMTM4				
CNRIP1				
COMMD10				
COMMD8				
CPSF4				
CRHBP				
CRIP2				
CRYGD				
CSTF1				
CTDSPL				
CUL4B				
DAOA				
DBI				
DBP				
DCAF16				
DCK				
DCTN6				
DDIT4				
DIO3				
DNAJB5				
DNAJC25				
DUSP11				
DUSP9				
DYNLRB2				
E2F6				
EDNRA				
EFCAB11				
EFNA1				
EFNA3				
EIF4H				
ELAVL3				
ELAVL4				
ELOVL1				
EMC8				
EMD				
EPGN				
EPT1				
ESRRG				
FAIM				
FAM103A1				
FAM195A				
FAM76B				
FAM78B				
FAM8A1				
FBXO8				
FIGLA				
FSHB				
FZD2				
GABPA				
GAS2				
GDF5OS				
GGPS1				
GLRX				
GLTPD2				
GNAI1				
GOLGA6A				
GOLGA6B				
GOSR1				
GPR22				
GPR26				
GPR3				
GPR65				
GPX7				
GRXCR2				
GSTA4				
GULP1				
HAPLN2				
HAPLN4				
HAUS2				
HDHD1				
HIF1AN				
HIST1H2BJ				
HIST1H4B				
HLA-DPB1				
HNRNPF				
HOXA10				
HOXC12				
HOXC4				
HOXC6				
HSPA5				
HSPB8				
IAH1				
IFITM1				
IFNA8				
IFNB1				
IGFBP3				
IGFBP7				
IGHV3-53				
IGKV1-9				
IGLC7				
IL11				
IL12A				
IL3				
IL36A				
ING4				
IQCF2				
IRX5				
JDP2				
KATNBL1				
KCNC1				
KCNIP1				
KCNJ8				
KCTD10				
KCTD2				
KDM1A				
KLF1				
KNCN				
KREMEN2				
KRTAP5-3				
KRTAP9-8				
LASP1				
LCE3D				
LDB1				
LECT2				
LEFTY2				
LHX6				
LIX1L				
LRCH2				
LSMD1				
LYG2				
LYPD2				
MAB21L1				
MAD2L1BP				
MAGEB16				
MAP1LC3B2				
MAPK3				
MCEE				
METTL14				
MOB3B				
MORF4L1				
MPPED1				
MRPL18				
MRPL41				
MRPL48				
MRPS24				
MSANTD4				
MSN				
MYF6				
NAMPT				
NAP1L1				
NAP1L5				
NBPF15				
NECAB1				
NEDD8-MDP1				
NEU1				
NEUROG3				
NFU1				
NINJ1				
NKX2-8				
NKX3-2				
NLK				
NME5				
NMNAT2				
NXPH4				
OR1E2				
OR6C76				
ORAI2				
OSER1				
OTOS				
OTUB1				
OXLD1				
PAFAH1B3				
PAK3				
PANK1				
PDCD5				
PELI1				
PGAM1				
PGLYRP1				
PI3				
PIGA				
PITPNC1				
PNPO				
POLR3F				
POU2AF1				
POU5F2				
PPP3CB				
PPP6C				
PRDM8				
PRDX1				
PRELID2				
PRKAR1A				
PRND				
PRPF19				
PRPSAP2				
PRR21				
PRRG4				
PRRX2				
PRSS8				
PSMB4				
PSMB5				
PSTPIP2				
PTGDR2				
PTGES3L				
PTRHD1				
RAB27B				
RAB2B				
RBP2				
RCE1				
RCVRN				
RERG				
RHOC				
RNASE12				
RNASE2				
RNF144A				
RNF38				
RNF41				
RPL17-C18orf32				
RPS11				
RPS2				
SAA2				
SCGB1C1				
SCGB1D2				
SERTAD1				
SESN3				
SETD8				
SF3A3				
SH3BGRL2				
SLC25A2				
SLC25A36				
SLC32A1				
SLC39A9				
SMCO3				
SNRNP25				
SNRPA				
SNX22				
SOD2				
SOX15				
SPC25				
SPG21				
SPINK4				
SRP19				
SRSF12				
SSPN				
SSR1				
SSTR1				
SSX7				
ST8SIA3				
STEAP1B				
STOML2				
STX17				
SUMO3				
SUV39H1				
SWSAP1				
SYF2				
TAC3				
TARDBP				
TARM1				
TBCEL				
TCAP				
