Background	FLAGS	OMIM	HGMD	WES
HTT		SIGMAR1	SGCE	STAT1
IFT140		CHMP2B	ATP8B1	USH1C
KIAA2026		PFN1	KIT	LMNA
SORL1		ERBB4	CYP17A1	TGM6
ZNF646		ALS2	MID1	TRAPPC9
FER1L6		SETX	MUTYH	PRKCG
MTUS1		FUS	GJA1	TRPV4
RECQL4		VAPB	ABCA3	COCH
SCN10A		ANG	UGT1A1	CUL7
BZRAP1		C9orf72	AIRE	SNRNP200
EFCAB6		ALB	ASS1	SOD1
PTPN13		KCNJ2	RPE65	CDHR1
SPEG		AR	IKBKG	DDX11
TICRR		GATA1	FOXC2	SLX4
ABCA12		RHAG	LCAT	UBQLN2
ARHGEF10		NT5C3A	PMP22	BSCL2
GSE1		SPTB	NR5A1	FGD1
TCHH		ALAS2	ABCC6	GATA4
WFS1		GLRX5	TCF4	CCDC88C
ADAMTS9		SLC25A38	GLDC	ABCD4
ALPK2		ABCB7	TBX5	GARS
APC		MECP2	UNC13D	FLNC
CCDC88C		UBE3A	FGFR2	PRPH2
MYOF		CDKL5	ALDH7A1	AKT3
CENPE		F12	COL17A1	MTOR
DLEC1		COL4A1	SRY	EVC2
FLG2		PAX6	LRP5	MYOC
MCM3AP		RSPO4	FGG	ABCA4
MYH4		FOXE3	PEX6	EXOC4
PLXNB3		PITX3	CACNA1A	LTBP2
PRRC2B		POR	PTS	CRB1
PTPRZ1		FGFR2	DNAH5	
BRCA1		MYH11	OTOF	
GOLGA4		ACTA2	SMARCB1	
HEATR1		MYLK	BLM	
OBSL1		PRKG1	CPT2	
PLEKHG4B		SMAD6	TPO	
ABCA3		NOTCH1	TGFBR2	
MYH14		GRN	UBE3A	
NIN		COX7B	CYP11B1	
PKD1L2		FGF10	WRN	
QRICH2		BCHE	PCNT	
CDK5RAP2		APOA2	RASA1	
DUOX2		HSD11B2	ITGB4	
FANCM		ARG1	ASPA	
GREB1		ASL	PCCA	
HECTD4		CYP19A1	THAP1	
TRRAP		DDC	SPINK5	
ADAMTS20		DSG2	EBP	
ATG2A		DSC2	MMACHC	
IGFN1		JUP	SLC45A2	
MICAL3		RYR2	KCNQ2	
MYH11		TMEM43	CTSC	
NWD1		DSP	MLC1	
PLXNA3		PKP2	PINK1	
ABCC10		CTNNA3	NTRK1	
COL20A1		ENPP1	UMOD	
FBN1		ABCC6	SH2D1A	
MYO5B		SLC2A10	HEXB	
NUMA1		TPM2	PRPH2	
PLXNB2		TNNI2	TSHR	
USP34		MYBPC1	DSP	
ABCC3		MYH3	BMPR1A	
LTBP2		PIEZO2	RP2	
MGA		ECEL1	RAG1	
PRRC2C		GLE1	ARSA	
TTC3		VPS33B	MVK	
ARHGEF17		VIPAS39	BBS10	
C5orf42		WISP3	CACNA1F	
COL5A1		TNNT3	ASPM	
GOLGA3		PRPS1	SGCA	
IFT172		ASNS	SLC4A11	
PHRF1		GOT1	BCKDHB	
DUOX1		AGA	GPR143	
SYNJ2		TBX21	CNGA3	
ZNF407		TTPA	TNNT2	
MYOM3		ATCAY	PMS2	
TRIO		APTX	ALDH3A2	
UGT1A1		FLVCR1	L2HGDH	
CASC5		RNF170	ABCA12	
CCDC180		MTPAP	MCCC2	
CEP192		AFG3L2	SLC12A1	
COL11A1		PIK3R5	FAH	
LMO7		ATM	IGHMBP2	
ADAMTSL1		MRE11A	DYNC2H1	
MYO9B		FLNB	TG	
SYTL2		HOXA1	SLC5A2	
TENM3		SPINK5	KRT5	
CHD7		TF	GHR	
COL17A1		SCN5A	SOX10	
DOCK5		GJA5	AAAS	
MYOM1		ABCC9	CUL7	
RIF1		SCN1B	PPT1	
BAIAP3		SCN2B	ATP1A2	
FN1		KCNQ1	PLEC	
PNPLA7		KCNE2	SALL1	
ABCC6		NPPA	FUS	
ANK1		KCNA5	ITGB2	
EXPH5		MYH6	SLC22A5	
LRRK1		TBX20	PHKA2	
MYH8		ACTC1	SLC26A3	
SNAPC4		TLL1	SIX3	
SPATA31E1		NKX2-5	GFAP	
CUL7		CITED2	FLG	
LAMB1		GATA6	NKX2-5	
PTPRB		GJA1	FKRP	
RALGAPA2		CRELD1	AVP	
ARHGAP32		CYBB	IL12RB1	
INADL		DIAPH3	CLCN7	
MAMDC4		OTOF	CYP27A1	
MYO10		TSHZ1	CDC73	
PAPLN		GNAI3	ASL	
TENM2		PLCB4	AIP	
WNK2		ITCH	ERCC6	
ZNF638		NRAS	NKX2-1	
AIM1		CASP10	NHLRC1	
DLC1		AIRE	HSD17B4	
MYLK		PLCG2	RP1	
PDCD11		PSMB8	POMT1	
PTPRF		DRD4	KCNV2	
SGK223		PITX2	SEC23B	
SON		FOXC1	FOXC1	
TIAM2		BCL7A	FERMT1	
ALPK3		IL12B	BBS1	
F5		IFNGR1	CPOX	
FRYL		ASXL3	FLT4	
KMT2A		RECQL4	COL6A2	
KNTC1		FOXE1	PSEN1	
MST1R		OCLN	HGSNAT	
NUP98		PTEN	PRRT2	
SCRIB		ACTB	EVC	
UNC13B		ACTG1	SPG7	
CCDC171		BBS1	CLCNKB	
DLG5		BBS10	BCKDHA	
LAMA4		TRIM32	LAMB2	
LAMB2		BBS12	TNNI3	
LAMB4		MKS1	CFI	
MAST4		CEP290	SOX9	
SCN9A		LZTFL1	SLC7A7	
THADA		BBS2	GDAP1	
ACE		ARL6	SPRED1	
AZI1		BBS4	FLNB	
COL5A3		BBS5	MYO15A	
KNDC1		MKKS	FRMD7	
RREB1		BBS7	TRPS1	
THSD7A		TTC8	TGFBI	
TNS1		TAP1	CLN3	
AHCTF1		TAPBP	CYP27B1	
ARAP2		TAP2	TERT	
CABIN1		RFX5	ALAS2	
MYO3A		RFXAP	FANCG	
NCOA6		ASCC1	SOS1	
RP1		CTHRC1	EVC2	
SI		MSR1	FGB	
TRPM5		GJB2	PITX2	
AKAP11		TAZ	KCNJ1	
DHX34		SLC12A1	COL4A4	
GCN1L1		KCNJ1	ANK1	
MAP1A		CLCNKB	GH1	
PASK		BSND	FOXP3	
WDR96		CLCNKA	CLN6	
ABCC12		PTCH1	HADHA	
CDC42BPG		PTCH2	COLQ	
DCDC1		RASA1	RPGRIP1	
FNDC1		PDGFRB	RDH12	
KIF26B		PDGFB	ANO5	
MAN2B2		SLC20A2	XPC	
MYO18A		THOC6	MCCC1	
PEG3		DMD	TRPV4	
WDFY3		CDKN1C	SLC2A2	
ZNF292		NSD1	RAB3GAP1	
ABCA2		GP1BA	ACAT1	
ABCC2		GP1BB	POMGNT1	
ADAMTSL3		GP9	DOK7	
MYH15		BEST1	MTHFR	
NOTCH3		ADRB2	DICER1	
PCNX		UPB1	WISP3	
PTPN23		COL6A1	PLG	
TTC40		COL6A2	ECM1	
ABCA6		COL6A3	PALB2	
ANO7		CYP4V2	EPM2A	
CHD6		FREM1	ERCC2	
EVC2		SLC10A2	GPR98	
JMJD7-PLA2G4B		HSD3B7	F2	
TMPRSS9		AKR1D1	POR	
TNKS1BP1		CYP7B1	NR3C2	
ABCA8		BTD	STAR	
ATR		KCNK9	COL4A1	
FYCO1		FLCN	LAMP2	
KIF26A		BCS1L	SLC25A13	
LRRK2		KRAS	TH	
MEGF6		RB1	EIF2AK3	
PTPRD		NOD2	IVD	
C1orf173		P2RX1	BBS2	
COL4A2		GP6	SLC5A1	
ITSN2		ACTN1	GATA6	
PLA2G4B		ITGA2B	SBDS	
PTPRH		ITGB3	STXBP1	
TJP3		GFI1B	PAFAH1B1	
UNC13C		P2RY12	FTL	
CEP290		FOXL2	DES	
DSCAML1		UBE3B	HR	
FRY		KLF1	VPS33B	
GAK		OPN1LW	ALDOB	
LRP5		OPN1MW	DGUOK	
MROH2B		ASXL1	RAPSN	
NCAPD3		SRP72	ATL1	
NUP188		PLS3	GATA3	
PLXNA1		PHF6	PRPF31	
SHROOM3		RLBP1	FBN2	
ZDBF2		EMG1	LYST	
ANKRD26		SIX1	CC2D2A	
ARHGAP21		BMP2	ATP6V0A2	
ATP8B3		BMPR1B	NOTCH2	
C2CD3		ROR2	MTTP	
C4orf21		NOG	LIPA	
COL15A1		HOXD13	CD46	
KIAA0947		PTHLH	CRX	
KIAA1551		HDAC4	MMAA	
LTBP1		PAPSS2	FOXF1	
NCKAP5		TRPV4	ADSL	
PIK3C2B		RGS9	APOA1	
PRDM2		RGS9BP	CP	
TNRC6A		BCKDK	MNX1	
BRWD1		TFAP2A	TECTA	
CILP		SIX5	EDAR	
KIAA1683		PPM1D	COL11A1	
LAMB3		BRIP1	CYBA	
PKDREJ		AKT1	HMGCL	
PTPRS		PIK3CA	SMARCAL1	
PXDNL		RB1CC1	LAMA3	
SCN4A		TSG101	REEP1	
YLPM1		PRDM5	GLMN	
ZNF318		ZNF469	AGXT	
